mirror_pair_id,comparison_case_id,case_role,evaluation_side,source_scenario_id,source_condition_id,source_decision_number,source_turn_number,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,expected_legal_moves,runtime_legal_moves,legal_move_sets_match,selected_move,selected_move_is_legal,selected_probability,prediction_confidence,routing_reason,raw_predicted_action,fallback_used,policy_history_record_available,acting_card_match,opposing_card_match,acting_energy_match,opposing_energy_match,case_execution_success,error_type,error_message
4WC_PAIR_017,4WC_PAIR_017__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__BASELINE,BASELINE,1,1,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.852,0.852,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_017,4WC_PAIR_017__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__BASELINE,BASELINE,1,1,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.854,0.854,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_018,4WC_PAIR_018__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__BASELINE,BASELINE,3,3,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_018,4WC_PAIR_018__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__BASELINE,BASELINE,3,3,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_019,4WC_PAIR_019__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__BASELINE,BASELINE,5,5,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.866,0.866,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_019,4WC_PAIR_019__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__BASELINE,BASELINE,5,5,Eevee,Charmander,50.0,80.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.868,0.868,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_020,4WC_PAIR_020__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.956,0.956,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_020,4WC_PAIR_020__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.958,0.958,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_021,4WC_PAIR_021__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.974,0.974,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_021,4WC_PAIR_021__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Charmander,50.0,40.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.976,0.976,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_022,4WC_PAIR_022__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S007__BASELINE,BASELINE,1,1,Eevee,Bulbasaur,20.0,20.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.962,0.962,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_022,4WC_PAIR_022__MIRRORED_PLAYER,MIRRORED,Player,T52_S007__BASELINE,BASELINE,1,1,Eevee,Bulbasaur,20.0,20.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.962,0.962,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_023,4WC_PAIR_023__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S007__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,20.0,10.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.962,0.962,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
4WC_PAIR_023,4WC_PAIR_023__MIRRORED_PLAYER,MIRRORED,Player,T52_S007__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,20.0,10.0,3,3,"['Ascension', 'Quick Attack']","['Ascension', 'Quick Attack']",True,Quick Attack,True,0.962,0.962,LEGAL_MODEL_PREDICTION,Quick Attack,False,True,True,True,True,True,True,,
