expanded_pair_id,comparison_case_id,evaluation_side,source_scenario_id,source_condition_id,source_turn_number,expansion_variant_id,counterfactual_id,counterfactual_group,counterfactual_description,legal_moves,legal_move_signature,observed_turn_number,observed_acting_energy,observed_opposing_energy,observed_energy_difference,predicted_action,quick_attack_probability,ascension_probability,quick_attack_minus_ascension,quick_attack_score_advantage,ascension_score_advantage,baseline_quick_attack_probability,baseline_ascension_probability,baseline_quick_attack_minus_ascension,baseline_predicted_action,quick_attack_probability_change,ascension_probability_change,score_margin_change,predicted_action_changed,ascension_overtook_quick_attack
4WE_PAIR_021_V03,4WE_PAIR_021_V03__OPPONENT,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,3,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,2.0,2.0,0.0,Ascension,0.07,0.668,-0.5980000000000001,False,True,0.788,0.15,0.638,Quick Attack,-0.718,0.518,-1.2360000000000002,True,True
4WE_PAIR_005_V02,4WE_PAIR_005_V02__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,3.0,-1.0,Ascension,0.072,0.666,-0.5940000000000001,False,True,0.79,0.148,0.642,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_005_V03,4WE_PAIR_005_V03__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,2,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,2.0,0.0,Ascension,0.072,0.666,-0.5940000000000001,False,True,0.79,0.148,0.642,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_006_V02,4WE_PAIR_006_V02__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,2.0,3.0,-1.0,Ascension,0.072,0.666,-0.5940000000000001,False,True,0.79,0.148,0.642,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_006_V03,4WE_PAIR_006_V03__OPPONENT,Opponent,T52_S001__HP_PRESSURE,HP_PRESSURE,4,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,2.0,2.0,0.0,Ascension,0.072,0.666,-0.5940000000000001,False,True,0.79,0.148,0.642,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_012_V02,4WE_PAIR_012_V02__OPPONENT,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,3,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,2.0,3.0,-1.0,Ascension,0.072,0.666,-0.5940000000000001,False,True,0.79,0.148,0.642,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_012_V03,4WE_PAIR_012_V03__OPPONENT,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,3,SYMMETRIC_TWO_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,2.0,2.0,0.0,Ascension,0.072,0.666,-0.5940000000000001,False,True,0.79,0.148,0.642,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_015_V02,4WE_PAIR_015_V02__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,2,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,2,2.0,3.0,-1.0,Ascension,0.078,0.66,-0.5820000000000001,False,True,0.796,0.142,0.654,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_016_V02,4WE_PAIR_016_V02__PLAYER,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,4,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,4,2.0,3.0,-1.0,Ascension,0.078,0.66,-0.5820000000000001,False,True,0.796,0.142,0.654,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
4WE_PAIR_021_V02,4WE_PAIR_021_V02__PLAYER,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,3,MINIMUM_MULTI_ACTION_ENERGY,LEGAL_SIGNATURE_ASCENSION_ONLY,LEGAL_STRUCTURE,Expose Ascension as the only legal action.,['Ascension'],Ascension,3,2.0,3.0,-1.0,Ascension,0.078,0.66,-0.5820000000000001,False,True,0.796,0.142,0.654,Quick Attack,-0.7180000000000001,0.518,-1.2360000000000002,True,True
