dataset_split,column_name,row_count,missing_count,positive_infinity_count,negative_infinity_count,unique_count,minimum,mean,maximum,is_constant
validation,legal_move_count_numeric,160,0,0,0,1,1.0,1.0,1.0,True
validation,curriculum_priority_numeric,160,0,0,0,6,1.0,4.166666666666667,8.0,False
validation,hard_example_rank_numeric,160,0,0,0,16,11.0,59.375,106.0,False
validation,energy_advantage_player,160,0,0,0,3,-1.0,-0.1,1.0,False
validation,damage_advantage_player,160,0,0,0,24,-91.5,-9.490625,32.5,False
validation,side_relative_energy_advantage,160,0,0,0,3,-1.0,0.0625,1.0,False
validation,side_relative_damage_advantage,160,0,0,0,19,-54.0,7.240625,91.5,False
validation,total_energy_in_play,160,0,0,0,7,0.0,4.1,8.0,False
validation,total_damage_in_play,160,0,0,0,19,0.0,36.746875,146.5,False
validation,energy_ratio_player,160,0,0,0,4,0.6666666666666666,0.975,1.3333333333333333,False
validation,damage_ratio_player,160,0,0,0,24,0.2073170731707317,1.9684140175587435,10.117647058823527,False
validation,late_game_indicator,160,0,0,0,2,0.0,0.2,1.0,False
validation,early_turn_indicator,160,0,0,0,2,0.0,0.2,1.0,False
validation,energy_tied_indicator,160,0,0,0,2,0.0,0.7,1.0,False
validation,damage_tied_indicator,160,0,0,0,2,0.0,0.2,1.0,False
validation,legal_pass_count,160,0,0,0,1,1.0,1.0,1.0,True
validation,legal_attack_count,160,0,0,0,1,0.0,0.0,0.0,True
validation,only_pass_available,160,0,0,0,1,1.0,1.0,1.0,True
validation,multiple_actions_available,160,0,0,0,1,0.0,0.0,0.0,True
validation,is_player_side,160,0,0,0,2,0.0,0.3125,1.0,False
validation,is_opponent_side,160,0,0,0,2,0.0,0.6875,1.0,False
test,player_energy_numeric,160,0,0,0,5,0.0,2.0,4.0,False
test,opponent_energy_numeric,160,0,0,0,5,0.0,2.1,4.0,False
test,player_damage_numeric,160,0,0,0,14,0.0,19.06875,56.0,False
test,opponent_damage_numeric,160,0,0,0,16,0.0,14.546875,44.0,False
test,turn_number_numeric,160,0,0,0,8,1.0,5.3,10.0,False
test,prize_cards_remaining_numeric,160,0,0,0,5,2.0,4.1,6.0,False
test,hand_size_numeric,160,0,0,0,5,3.0,4.9,7.0,False
test,legal_move_count_numeric,160,0,0,0,1,1.0,1.0,1.0,True
test,curriculum_priority_numeric,160,0,0,0,6,1.0,4.041666666666666,9.0,False
test,hard_example_rank_numeric,160,0,0,0,16,1.0,63.4375,104.0,False
test,energy_advantage_player,160,0,0,0,3,-1.0,-0.1,1.0,False
test,damage_advantage_player,160,0,0,0,17,-32.5,-4.521875,32.5,False
test,side_relative_energy_advantage,160,0,0,0,3,-1.0,0.0375,1.0,False
test,side_relative_damage_advantage,160,0,0,0,11,-13.5,5.034375,32.5,False
test,total_energy_in_play,160,0,0,0,7,0.0,4.1,8.0,False
test,total_damage_in_play,160,0,0,0,11,0.0,33.615625,83.5,False
test,energy_ratio_player,160,0,0,0,4,0.6666666666666666,0.975,1.3333333333333333,False
test,damage_ratio_player,160,0,0,0,16,0.2073170731707317,1.6129602436907298,4.823529411764706,False
test,late_game_indicator,160,0,0,0,2,0.0,0.2,1.0,False
test,early_turn_indicator,160,0,0,0,2,0.0,0.2,1.0,False
test,energy_tied_indicator,160,0,0,0,2,0.0,0.7,1.0,False
test,damage_tied_indicator,160,0,0,0,2,0.0,0.2,1.0,False
test,legal_pass_count,160,0,0,0,1,1.0,1.0,1.0,True
test,legal_attack_count,160,0,0,0,1,0.0,0.0,0.0,True
test,only_pass_available,160,0,0,0,1,1.0,1.0,1.0,True
test,multiple_actions_available,160,0,0,0,1,0.0,0.0,0.0,True
test,is_player_side,160,0,0,0,2,0.0,0.3875,1.0,False
test,is_opponent_side,160,0,0,0,2,0.0,0.6125,1.0,False
