source_scenario_id,match_id,agent_name,baseline_name,player_card,opponent_card,starting_side,evaluated_agent_side,normalized_side,winner,turns,stop_reason,fallback_count,elapsed_seconds,baseline_strength,side_priority,turn_complexity,hard_example_priority,hard_example_rank,replay_level,mining_status,records_mined,queue_position
NB48_LOSS_300,300,Competitive Policy,Depth-6 Search Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0030014000367373,3.0,2.0,1.3333333333333333,8.0,17,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,17
NB48_LOSS_202,202,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0046014999970793,3.0,2.0,1.0,6.0,18,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,18
NB48_LOSS_206,206,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0036903000436723,3.0,2.0,1.0,6.0,19,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,19
NB48_LOSS_214,214,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0040059000020846,3.0,2.0,1.0,6.0,20,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,20
NB48_LOSS_218,218,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0034030000679194,3.0,2.0,1.0,6.0,21,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,21
NB48_LOSS_226,226,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0041091999737545,3.0,2.0,1.0,6.0,22,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,22
NB48_LOSS_230,230,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.003560799988918,3.0,2.0,1.0,6.0,23,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,23
NB48_LOSS_238,238,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0037527000531554,3.0,2.0,1.0,6.0,24,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,24
NB48_LOSS_242,242,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0032496999483555,3.0,2.0,1.0,6.0,25,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,25
NB48_LOSS_250,250,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0037933000130578,3.0,2.0,1.0,6.0,26,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,26
NB48_LOSS_254,254,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0033936999971047,3.0,2.0,1.0,6.0,27,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,27
NB48_LOSS_262,262,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0040428000502288,3.0,2.0,1.0,6.0,28,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,28
NB48_LOSS_266,266,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0034528999822214,3.0,2.0,1.0,6.0,29,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,29
NB48_LOSS_274,274,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0038305000634863,3.0,2.0,1.0,6.0,30,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,30
NB48_LOSS_278,278,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0033809000160545,3.0,2.0,1.0,6.0,31,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,31
NB48_LOSS_286,286,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0038115999195724,3.0,2.0,1.0,6.0,32,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,32
NB48_LOSS_290,290,Competitive Policy,Depth-6 Search Baseline,Meowth,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.004348500049673,3.0,2.0,1.0,6.0,33,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,33
NB48_LOSS_298,298,Competitive Policy,Depth-6 Search Baseline,Charmander,Eevee,Player,Opponent,Opponent,Player,3,Battle reached a terminal state.,0,0.0040196001064032,3.0,2.0,1.0,6.0,34,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,34
NB48_LOSS_104,104,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0013660000404343,2.0,2.0,1.3333333333333333,5.333333333333333,35,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,35
NB48_LOSS_116,116,Competitive Policy,Greedy Damage Baseline,Bulbasaur,Eevee,Opponent,Opponent,Opponent,Player,4,Battle reached a terminal state.,0,0.0014393999008461,2.0,2.0,1.3333333333333333,5.333333333333333,36,LEVEL_1_SCENARIO_REGENERATION,PENDING_REPLAY,0,36
