battle_number,scenario_id,scenario_name,base_scenario_id,condition_id,condition_name,player_card,opponent_card,starting_side,starting_turn_number,starting_player_hp,starting_opponent_hp,starting_player_energy,starting_opponent_energy,winner,starter_won,player_won,opponent_won,draw,recorded_turns,final_turn_number,final_player_hp,final_opponent_hp,policy_decisions,fallback_decisions,fallback_rate,masking_changes,masking_change_rate,average_confidence,minimum_confidence,maximum_confidence,termination_reason,transcript_file,battle_completed,error_type,error_message
12,T52_S004__ENERGY_PRESSURE,Charmander_vs_Eevee_Opponent_Start__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,Opponent Energy Pressure,Charmander,Eevee,Opponent,3,80.0,50.0,3,1,Player,False,True,False,False,6,9,80.0,0.0,6,0,0.0,3,0.5,0.778222222222222,0.6333333333333333,0.8813333333333333,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S004__ENERGY_PRESSURE_transcript.txt,True,,
13,T52_S005__BASELINE,Meowth_vs_Bulbasaur_Player_Start__BASELINE,T52_S005,BASELINE,Baseline,Meowth,Bulbasaur,Player,1,60.0,80.0,2,2,Opponent,False,False,True,False,12,13,0.0,80.0,12,0,0.0,12,1.0,0.6992222222222222,0.62,0.804,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S005__BASELINE_transcript.txt,True,,
14,T52_S005__HP_PRESSURE,Meowth_vs_Bulbasaur_Player_Start__HP_PRESSURE,T52_S005,HP_PRESSURE,Player HP Pressure,Meowth,Bulbasaur,Player,5,30.0,80.0,2,2,Opponent,False,False,True,False,6,11,0.0,80.0,6,0,0.0,6,1.0,0.6826666666666666,0.6306666666666667,0.7586666666666667,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S005__HP_PRESSURE_transcript.txt,True,,
15,T52_S005__ENERGY_PRESSURE,Meowth_vs_Bulbasaur_Player_Start__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,Opponent Energy Pressure,Meowth,Bulbasaur,Player,3,60.0,80.0,2,0,Draw,False,False,False,True,30,33,60.0,80.0,30,0,0.0,30,1.0,0.5012444444444445,0.476,0.592,Maximum turn limit reached.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S005__ENERGY_PRESSURE_transcript.txt,True,,
16,T52_S006__BASELINE,Meowth_vs_Bulbasaur_Opponent_Start__BASELINE,T52_S006,BASELINE,Baseline,Meowth,Bulbasaur,Opponent,1,60.0,80.0,2,2,Opponent,True,False,True,False,11,12,0.0,80.0,11,1,0.09090909090909091,11,1.0,0.7018181818181818,0.6306666666666667,0.7893333333333333,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S006__BASELINE_transcript.txt,True,,
17,T52_S006__HP_PRESSURE,Meowth_vs_Bulbasaur_Opponent_Start__HP_PRESSURE,T52_S006,HP_PRESSURE,Player HP Pressure,Meowth,Bulbasaur,Opponent,5,30.0,80.0,2,2,Opponent,True,False,True,False,5,10,0.0,80.0,5,0,0.0,5,1.0,0.692,0.648,0.7866666666666666,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S006__HP_PRESSURE_transcript.txt,True,,
18,T52_S006__ENERGY_PRESSURE,Meowth_vs_Bulbasaur_Opponent_Start__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,Opponent Energy Pressure,Meowth,Bulbasaur,Opponent,3,60.0,80.0,2,0,Draw,False,False,False,True,30,33,60.0,80.0,30,0,0.0,30,1.0,0.5011111111111112,0.476,0.592,Maximum turn limit reached.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S006__ENERGY_PRESSURE_transcript.txt,True,,
19,T52_S007__BASELINE,Critical_HP_Bulbasaur_vs_Eevee__BASELINE,T52_S007,BASELINE,Baseline,Bulbasaur,Eevee,Opponent,9,20.0,20.0,3,3,Opponent,True,False,True,False,1,10,0.0,20.0,1,0,0.0,0,0.0,1.0,1.0,1.0,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S007__BASELINE_transcript.txt,True,,
20,T52_S007__HP_PRESSURE,Critical_HP_Bulbasaur_vs_Eevee__HP_PRESSURE,T52_S007,HP_PRESSURE,Player HP Pressure,Bulbasaur,Eevee,Opponent,13,10.0,20.0,3,3,Opponent,True,False,True,False,1,14,0.0,20.0,1,0,0.0,0,0.0,1.0,1.0,1.0,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S007__HP_PRESSURE_transcript.txt,True,,
21,T52_S007__ENERGY_PRESSURE,Critical_HP_Bulbasaur_vs_Eevee__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,11,20.0,20.0,3,1,Player,False,True,False,False,4,15,20.0,0.0,4,0,0.0,2,0.5,0.5016666666666667,0.452,0.552,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S007__ENERGY_PRESSURE_transcript.txt,True,,
22,T52_S008__BASELINE,Low_Energy_Eevee_vs_Charmander__BASELINE,T52_S008,BASELINE,Baseline,Eevee,Charmander,Player,2,50.0,80.0,1,1,Opponent,False,False,True,False,6,8,0.0,80.0,6,0,0.0,3,0.5,0.9204444444444445,0.8066666666666666,0.9893333333333333,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S008__BASELINE_transcript.txt,True,,
23,T52_S008__HP_PRESSURE,Low_Energy_Eevee_vs_Charmander__HP_PRESSURE,T52_S008,HP_PRESSURE,Player HP Pressure,Eevee,Charmander,Player,6,25.0,80.0,1,1,Opponent,False,False,True,False,4,10,0.0,80.0,4,0,0.0,2,0.5,0.8536666666666668,0.78,0.928,Battle reached a terminal state.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S008__HP_PRESSURE_transcript.txt,True,,
24,T52_S008__ENERGY_PRESSURE,Low_Energy_Eevee_vs_Charmander__ENERGY_PRESSURE,T52_S008,ENERGY_PRESSURE,Opponent Energy Pressure,Eevee,Charmander,Player,4,50.0,80.0,1,0,Draw,False,False,False,True,30,34,50.0,80.0,30,0,0.0,15,0.5,0.6331555555555557,0.6173333333333333,0.7293333333333333,Maximum turn limit reached.,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section5\expanded_transcripts\T52_S008__ENERGY_PRESSURE_transcript.txt,True,,
