strategy_id,actual_label,predicted_label,count
R3_STATE_CENTRIC_POLICY,Live Coal,Pass,0
R3_STATE_CENTRIC_POLICY,Live Coal,Quick Attack,0
R3_STATE_CENTRIC_POLICY,Live Coal,Tuck Tail,0
R3_STATE_CENTRIC_POLICY,Pass,Ascension,0
R3_STATE_CENTRIC_POLICY,Pass,Bind Down,0
R3_STATE_CENTRIC_POLICY,Pass,Live Coal,0
R3_STATE_CENTRIC_POLICY,Pass,Pass,12
R3_STATE_CENTRIC_POLICY,Pass,Quick Attack,0
R3_STATE_CENTRIC_POLICY,Pass,Tuck Tail,0
R3_STATE_CENTRIC_POLICY,Quick Attack,Ascension,0
R3_STATE_CENTRIC_POLICY,Quick Attack,Bind Down,0
R3_STATE_CENTRIC_POLICY,Quick Attack,Live Coal,0
R3_STATE_CENTRIC_POLICY,Quick Attack,Pass,0
R3_STATE_CENTRIC_POLICY,Quick Attack,Quick Attack,33
R3_STATE_CENTRIC_POLICY,Quick Attack,Tuck Tail,0
R3_STATE_CENTRIC_POLICY,Tuck Tail,Ascension,0
R3_STATE_CENTRIC_POLICY,Tuck Tail,Bind Down,0
R3_STATE_CENTRIC_POLICY,Tuck Tail,Live Coal,0
R3_STATE_CENTRIC_POLICY,Tuck Tail,Pass,0
R3_STATE_CENTRIC_POLICY,Tuck Tail,Quick Attack,0
R3_STATE_CENTRIC_POLICY,Tuck Tail,Tuck Tail,1
