strategy,feature_position,feature_name,importance,importance_rank,importance_percent,feature_type,base_feature
R0_CURRENT_BASELINE,35,categorical__player_card_Bulbasaur,0.006800404505808597,41,0.6800404505808597,categorical,player_card_Bulbasaur
R0_CURRENT_BASELINE,0,numeric__turn_number,0.006311689883094547,42,0.6311689883094547,numeric,turn_number
R0_CURRENT_BASELINE,1,numeric__player_energy,0.006211947941157503,43,0.6211947941157503,numeric,player_energy
R0_CURRENT_BASELINE,60,categorical__energy_band_ZERO,0.006180617618801085,44,0.6180617618801085,categorical,energy_band_ZERO
R0_CURRENT_BASELINE,9,numeric__defending_energy,0.0059299044397129064,45,0.5929904439712906,numeric,defending_energy
R0_CURRENT_BASELINE,4,numeric__opponent_damage,0.005098140234767254,46,0.5098140234767254,numeric,opponent_damage
R0_CURRENT_BASELINE,38,categorical__player_card_Meowth,0.004670039928174495,47,0.4670039928174495,categorical,player_card_Meowth
R0_CURRENT_BASELINE,5,numeric__prize_cards_remaining,0.004122921991834085,48,0.41229219918340854,numeric,prize_cards_remaining
R0_CURRENT_BASELINE,32,categorical__current_side_Player,0.002179479931220695,49,0.2179479931220695,categorical,current_side_Player
R0_CURRENT_BASELINE,56,categorical__battle_phase_LATE,0.001844377406287528,50,0.18443774062875282,categorical,battle_phase_LATE
R0_CURRENT_BASELINE,62,categorical__damage_band_LOW_DAMAGE,0.0017095779342866514,51,0.17095779342866513,categorical,damage_band_LOW_DAMAGE
R0_CURRENT_BASELINE,31,categorical__current_side_Opponent,0.0008588810167124532,52,0.08588810167124532,categorical,current_side_Opponent
R0_CURRENT_BASELINE,11,numeric__absolute_energy_difference,0.0007873323087726295,53,0.07873323087726294,numeric,absolute_energy_difference
R0_CURRENT_BASELINE,55,categorical__battle_phase_EARLY,0.000682090340665087,54,0.06820903406650869,categorical,battle_phase_EARLY
R0_CURRENT_BASELINE,40,categorical__opponent_card_Eevee,0.0005881709964947218,55,0.058817099649472175,categorical,opponent_card_Eevee
R0_CURRENT_BASELINE,57,categorical__battle_phase_MID,0.0004373124053986601,56,0.04373124053986601,categorical,battle_phase_MID
R0_CURRENT_BASELINE,37,categorical__player_card_Eevee,0.00033158482714277214,57,0.03315848271427722,categorical,player_card_Eevee
R0_CURRENT_BASELINE,63,categorical__damage_band_MEDIUM_DAMAGE,0.0002923555711141322,58,0.02923555711141322,categorical,damage_band_MEDIUM_DAMAGE
R0_CURRENT_BASELINE,36,categorical__player_card_Charmander,0.0002549876145624082,59,0.02549876145624082,categorical,player_card_Charmander
R0_CURRENT_BASELINE,39,categorical__opponent_card_Charmander,0.0001988565072085403,60,0.01988565072085403,categorical,opponent_card_Charmander
R0_CURRENT_BASELINE,46,categorical__inactive_card_Charmander,0.0001775809494743056,61,0.01775809494743056,categorical,inactive_card_Charmander
R0_CURRENT_BASELINE,10,numeric__energy_difference,0.00014790090634880486,62,0.014790090634880486,numeric,energy_difference
R0_CURRENT_BASELINE,45,categorical__inactive_card_Bulbasaur,0.00010332103321040029,63,0.010332103321040028,categorical,inactive_card_Bulbasaur
R0_CURRENT_BASELINE,48,categorical__inactive_card_Meowth,5.2559502627492256e-06,64,0.0005255950262749226,categorical,inactive_card_Meowth
R1_REMOVE_LEGAL_SIGNATURE,22,numeric__is_legal__pass,0.0568146100385615,1,5.681461003856151,numeric,is_legal__pass
R1_REMOVE_LEGAL_SIGNATURE,19,numeric__is_legal__ascension,0.051751656773140677,2,5.175165677314068,numeric,is_legal__ascension
R1_REMOVE_LEGAL_SIGNATURE,26,numeric__active_card_can_use__bind_down,0.0442558591184413,3,4.42558591184413,numeric,active_card_can_use__bind_down
R1_REMOVE_LEGAL_SIGNATURE,27,numeric__active_card_can_use__live_coal,0.04208840537115972,4,4.2088405371159725,numeric,active_card_can_use__live_coal
R1_REMOVE_LEGAL_SIGNATURE,20,numeric__is_legal__bind_down,0.04167752495399648,5,4.167752495399648,numeric,is_legal__bind_down
R1_REMOVE_LEGAL_SIGNATURE,28,numeric__active_card_can_use__pass,0.04161279317667573,6,4.1612793176675735,numeric,active_card_can_use__pass
R1_REMOVE_LEGAL_SIGNATURE,21,numeric__is_legal__live_coal,0.04086852064358667,7,4.086852064358667,numeric,is_legal__live_coal
R1_REMOVE_LEGAL_SIGNATURE,42,categorical__active_card_Charmander,0.04067664560450881,8,4.067664560450881,categorical,active_card_Charmander
R1_REMOVE_LEGAL_SIGNATURE,41,categorical__active_card_Bulbasaur,0.0383404551799512,9,3.8340455179951203,categorical,active_card_Bulbasaur
R1_REMOVE_LEGAL_SIGNATURE,23,numeric__is_legal__quick_attack,0.03604991460252789,10,3.6049914602527893,numeric,is_legal__quick_attack
R1_REMOVE_LEGAL_SIGNATURE,14,numeric__damage_difference,0.03515132093174132,11,3.5151320931741323,numeric,damage_difference
R1_REMOVE_LEGAL_SIGNATURE,18,numeric__model_choice_required_flag,0.033931102937855756,12,3.3931102937855755,numeric,model_choice_required_flag
R1_REMOVE_LEGAL_SIGNATURE,12,numeric__acting_damage,0.03326746850632282,13,3.326746850632282,numeric,acting_damage
R1_REMOVE_LEGAL_SIGNATURE,7,numeric__recomputed_legal_move_count,0.030888985564405697,14,3.0888985564405695,numeric,recomputed_legal_move_count
R1_REMOVE_LEGAL_SIGNATURE,17,numeric__multi_legal_move_flag,0.028799209986888143,15,2.879920998688814,numeric,multi_legal_move_flag
R1_REMOVE_LEGAL_SIGNATURE,24,numeric__is_legal__tuck_tail,0.02835371737274491,16,2.8353717372744907,numeric,is_legal__tuck_tail
R1_REMOVE_LEGAL_SIGNATURE,55,categorical__damage_band_HIGH_DAMAGE,0.02825792753220497,17,2.825792753220497,categorical,damage_band_HIGH_DAMAGE
R1_REMOVE_LEGAL_SIGNATURE,16,numeric__single_legal_move_flag,0.026903150645514094,18,2.6903150645514096,numeric,single_legal_move_flag
R1_REMOVE_LEGAL_SIGNATURE,8,numeric__acting_energy,0.021461949876440466,19,2.1461949876440465,numeric,acting_energy
R1_REMOVE_LEGAL_SIGNATURE,47,categorical__inactive_card_Eevee,0.01950323343497863,20,1.950323343497863,categorical,inactive_card_Eevee
