comparison_case_id,scenario_family,pair_number,case_variant,evaluation_side,strategy_comparisons,mean_maximum_probability_difference,maximum_probability_difference,mean_l1_probability_difference,maximum_l1_probability_difference,unique_case_rank
4WE_PAIR_003_V03__OPPONENT,4WE,3,V03,OPPONENT,6,0.08566666666666668,0.164,0.17466666666666666,0.332,15
4WE_PAIR_010_V03__OPPONENT,4WE,10,V03,OPPONENT,6,0.08566666666666668,0.164,0.17466666666666666,0.332,16
4WE_PAIR_001_V03__PLAYER,4WE,1,V03,PLAYER,6,0.08666666666666667,0.162,0.17733333333333334,0.332,17
4WE_PAIR_008_V03__PLAYER,4WE,8,V03,PLAYER,6,0.08666666666666667,0.162,0.17733333333333334,0.332,18
4WE_PAIR_002_V02__OPPONENT,4WE,2,V02,OPPONENT,6,0.08533333333333333,0.162,0.17333333333333334,0.328,19
4WE_PAIR_003_V02__OPPONENT,4WE,3,V02,OPPONENT,6,0.08533333333333333,0.162,0.17333333333333334,0.328,20
4WE_PAIR_009_V02__OPPONENT,4WE,9,V02,OPPONENT,6,0.08533333333333333,0.162,0.17333333333333334,0.328,21
4WE_PAIR_010_V02__OPPONENT,4WE,10,V02,OPPONENT,6,0.08533333333333333,0.162,0.17333333333333334,0.328,22
4WE_PAIR_014_V02__OPPONENT,4WE,14,V02,OPPONENT,6,0.085,0.162,0.17266666666666666,0.328,23
4WE_PAIR_014_V02__PLAYER,4WE,14,V02,PLAYER,6,0.085,0.162,0.17333333333333334,0.328,24
4WE_PAIR_019_V02__OPPONENT,4WE,19,V02,OPPONENT,6,0.085,0.162,0.17266666666666666,0.328,25
4WE_PAIR_019_V02__PLAYER,4WE,19,V02,PLAYER,6,0.085,0.162,0.17333333333333334,0.328,26
4WE_PAIR_004_V03__OPPONENT,4WE,4,V03,OPPONENT,6,0.08433333333333336,0.162,0.17200000000000001,0.328,27
4WE_PAIR_001_V02__OPPONENT,4WE,1,V02,OPPONENT,6,0.08466666666666667,0.16,0.17200000000000001,0.324,28
4WE_PAIR_008_V02__OPPONENT,4WE,8,V02,OPPONENT,6,0.08466666666666667,0.16,0.17200000000000001,0.324,29
4WE_PAIR_013_V02__OPPONENT,4WE,13,V02,OPPONENT,6,0.08433333333333333,0.16,0.17133333333333334,0.324,30
4WE_PAIR_013_V02__PLAYER,4WE,13,V02,PLAYER,6,0.08433333333333333,0.16,0.17200000000000001,0.324,31
4WE_PAIR_018_V02__OPPONENT,4WE,18,V02,OPPONENT,6,0.08433333333333333,0.16,0.17133333333333334,0.324,32
4WE_PAIR_018_V02__PLAYER,4WE,18,V02,PLAYER,6,0.08433333333333333,0.16,0.17200000000000001,0.324,33
4WE_PAIR_004_V02__OPPONENT,4WE,4,V02,OPPONENT,6,0.08400000000000002,0.16,0.17066666666666666,0.324,34
4WE_PAIR_002_V02__PLAYER,4WE,2,V02,PLAYER,6,0.08433333333333333,0.158,0.17266666666666666,0.324,35
4WE_PAIR_003_V02__PLAYER,4WE,3,V02,PLAYER,6,0.08433333333333333,0.158,0.17266666666666666,0.324,36
4WE_PAIR_009_V02__PLAYER,4WE,9,V02,PLAYER,6,0.08433333333333333,0.158,0.17266666666666666,0.324,37
4WE_PAIR_010_V02__PLAYER,4WE,10,V02,PLAYER,6,0.08433333333333333,0.158,0.17266666666666666,0.324,38
4WE_PAIR_003_V03__PLAYER,4WE,3,V03,PLAYER,6,0.08366666666666667,0.158,0.17133333333333334,0.324,39
4WE_PAIR_010_V03__PLAYER,4WE,10,V03,PLAYER,6,0.08366666666666667,0.158,0.17133333333333334,0.324,40
4WE_PAIR_001_V02__PLAYER,4WE,1,V02,PLAYER,6,0.08366666666666667,0.156,0.17133333333333334,0.32,41
4WE_PAIR_008_V02__PLAYER,4WE,8,V02,PLAYER,6,0.08366666666666667,0.156,0.17133333333333334,0.32,42
4WE_PAIR_004_V02__PLAYER,4WE,4,V02,PLAYER,6,0.083,0.156,0.17,0.32,43
4WE_PAIR_004_V03__PLAYER,4WE,4,V03,PLAYER,6,0.08233333333333333,0.156,0.16866666666666666,0.32,44
4WE_PAIR_007_V03__PLAYER,4WE,7,V03,PLAYER,6,0.08433333333333337,0.15000000000000002,0.17333333333333337,0.31200000000000006,45
4WE_PAIR_017_V03__PLAYER,4WE,17,V03,PLAYER,6,0.08433333333333337,0.15000000000000002,0.17400000000000004,0.31200000000000006,46
4WE_PAIR_007_V03__OPPONENT,4WE,7,V03,OPPONENT,6,0.08366666666666671,0.14800000000000002,0.17266666666666672,0.30800000000000005,47
4WE_PAIR_017_V03__OPPONENT,4WE,17,V03,OPPONENT,6,0.08333333333333337,0.14800000000000002,0.17200000000000004,0.30800000000000005,48
4WE_PAIR_007_V02__OPPONENT,4WE,7,V02,OPPONENT,6,0.08233333333333334,0.14600000000000002,0.17,0.30800000000000005,49
4WE_PAIR_007_V02__PLAYER,4WE,7,V02,PLAYER,6,0.08200000000000003,0.14600000000000002,0.16866666666666671,0.30400000000000005,50
4WE_PAIR_017_V02__OPPONENT,4WE,17,V02,OPPONENT,6,0.08200000000000003,0.14600000000000002,0.16933333333333336,0.30800000000000005,51
4WE_PAIR_017_V02__PLAYER,4WE,17,V02,PLAYER,6,0.08200000000000003,0.14600000000000002,0.16933333333333336,0.30400000000000005,52
4WE_PAIR_015_V03__OPPONENT,4WE,15,V03,OPPONENT,6,0.07100000000000001,0.126,0.142,0.252,53
4WE_PAIR_021_V03__OPPONENT,4WE,21,V03,OPPONENT,6,0.07100000000000001,0.126,0.142,0.252,54
4WE_PAIR_016_V03__OPPONENT,4WE,16,V03,OPPONENT,6,0.07066666666666667,0.126,0.14133333333333334,0.252,55
4WE_PAIR_016_V03__PLAYER,4WE,16,V03,PLAYER,6,0.06900000000000002,0.12400000000000001,0.138,0.248,56
4WE_PAIR_020_V03__PLAYER,4WE,20,V03,PLAYER,6,0.06966666666666667,0.124,0.13933333333333334,0.248,57
4WE_PAIR_015_V03__PLAYER,4WE,15,V03,PLAYER,6,0.06833333333333334,0.12200000000000001,0.1366666666666667,0.244,58
4WE_PAIR_021_V03__PLAYER,4WE,21,V03,PLAYER,6,0.06833333333333334,0.12200000000000001,0.1366666666666667,0.244,59
4WE_PAIR_005_V03__OPPONENT,4WE,5,V03,OPPONENT,6,0.06800000000000002,0.12000000000000001,0.136,0.24,60
4WE_PAIR_006_V03__OPPONENT,4WE,6,V03,OPPONENT,6,0.06800000000000002,0.12000000000000001,0.136,0.24,61
4WE_PAIR_012_V03__OPPONENT,4WE,12,V03,OPPONENT,6,0.06800000000000002,0.12000000000000001,0.136,0.24,62
4WE_PAIR_015_V02__OPPONENT,4WE,15,V02,OPPONENT,6,0.06700000000000002,0.11800000000000001,0.134,0.236,63
4WE_PAIR_021_V02__OPPONENT,4WE,21,V02,OPPONENT,6,0.06700000000000002,0.11800000000000001,0.134,0.236,64
4WE_PAIR_016_V02__OPPONENT,4WE,16,V02,OPPONENT,6,0.06666666666666668,0.11800000000000001,0.13333333333333333,0.236,65
4WE_PAIR_020_V03__OPPONENT,4WE,20,V03,OPPONENT,6,0.06799999999999999,0.118,0.13599999999999998,0.236,66
4WE_PAIR_006_V03__PLAYER,4WE,6,V03,PLAYER,6,0.06500000000000002,0.116,0.13,0.23199999999999998,67
4WE_PAIR_011_V03__PLAYER,4WE,11,V03,PLAYER,6,0.06533333333333333,0.11599999999999999,0.13066666666666665,0.23199999999999998,68
4WE_PAIR_007_V04__PLAYER,4WE,7,V04,PLAYER,6,0.05966666666666668,0.11599999999999999,0.128,0.248,69
4WE_PAIR_005_V03__PLAYER,4WE,5,V03,PLAYER,6,0.06400000000000002,0.114,0.128,0.22799999999999998,70
4WE_PAIR_012_V03__PLAYER,4WE,12,V03,PLAYER,6,0.06400000000000002,0.114,0.128,0.22799999999999998,71
4WE_PAIR_022_V03__OPPONENT,4WE,22,V03,OPPONENT,6,0.06433333333333333,0.11399999999999999,0.12866666666666668,0.22799999999999998,72
4WE_PAIR_022_V03__PLAYER,4WE,22,V03,PLAYER,6,0.06433333333333333,0.11399999999999999,0.12866666666666668,0.22799999999999998,73
4WE_PAIR_017_V04__PLAYER,4WE,17,V04,PLAYER,6,0.05833333333333335,0.11399999999999999,0.12533333333333332,0.244,74
4WE_PAIR_005_V02__OPPONENT,4WE,5,V02,OPPONENT,6,0.06400000000000002,0.112,0.128,0.22399999999999998,75
4WE_PAIR_006_V02__OPPONENT,4WE,6,V02,OPPONENT,6,0.06400000000000002,0.112,0.12800000000000003,0.2240000000000001,76
4WE_PAIR_012_V02__OPPONENT,4WE,12,V02,OPPONENT,6,0.06400000000000002,0.112,0.128,0.22399999999999998,77
4WE_PAIR_011_V03__OPPONENT,4WE,11,V03,OPPONENT,6,0.06499999999999999,0.11199999999999999,0.12999999999999998,0.22399999999999998,78
4WE_PAIR_020_V02__OPPONENT,4WE,20,V02,OPPONENT,6,0.06499999999999999,0.11199999999999999,0.12999999999999998,0.22399999999999998,79
4WE_PAIR_020_V02__PLAYER,4WE,20,V02,PLAYER,6,0.06399999999999999,0.11199999999999999,0.12799999999999997,0.22399999999999998,80
4WE_PAIR_007_V01__PLAYER,4WE,7,V01,PLAYER,6,0.05733333333333334,0.11199999999999999,0.12333333333333334,0.24,81
4WE_PAIR_016_V02__PLAYER,4WE,16,V02,PLAYER,6,0.06200000000000002,0.11,0.12400000000000005,0.22000000000000008,82
4WE_PAIR_011_V02__PLAYER,4WE,11,V02,PLAYER,6,0.062,0.10999999999999999,0.124,0.21999999999999997,83
4WE_PAIR_002_V04__PLAYER,4WE,2,V04,PLAYER,6,0.05966666666666668,0.10999999999999999,0.126,0.236,84
4WE_PAIR_009_V04__PLAYER,4WE,9,V04,PLAYER,6,0.05966666666666668,0.10999999999999999,0.126,0.236,85
4WE_PAIR_007_V01__OPPONENT,4WE,7,V01,OPPONENT,6,0.05633333333333334,0.10999999999999999,0.12133333333333333,0.23600000000000002,86
4WE_PAIR_007_V04__OPPONENT,4WE,7,V04,OPPONENT,6,0.05633333333333334,0.10999999999999999,0.12066666666666666,0.232,87
