feature_name,R0,R1,R2,R3,strategies_retained,mean_importance_all_models,mean_importance_when_retained,maximum_importance,minimum_retained_importance,importance_range_when_retained,feature_type,base_feature,cross_strategy_rank,absolute_change_r0_to_r3,relative_change_r0_to_r3,importance_increased_r0_to_r3
numeric__absolute_damage_difference,0.019286859905629526,0.016479970927738577,0.02216162233664746,0.033566929602172335,4,0.022873845693046974,0.022873845693046974,0.033566929602172335,0.016479970927738577,0.017086958674433758,numeric,absolute_damage_difference,25,0.014280069696542809,1.7404040764756468,True
numeric__player_energy,0.006211947941157503,0.010243946878303777,0.011563141080689971,0.02008423120133379,4,0.012025816775371262,0.012025816775371262,0.02008423120133379,0.006211947941157503,0.013872283260176288,numeric,player_energy,41,0.013872283260176288,3.233161544749101,True
numeric__single_legal_move_flag,0.02428410197880131,0.026903150645514094,0.028153136731093882,0.037751526159406794,4,0.029272978878704024,0.029272978878704024,0.037751526159406794,0.02428410197880131,0.013467424180605484,numeric,single_legal_move_flag,21,0.013467424180605484,1.5545778135984525,True
categorical__energy_band_ZERO,0.006180617618801085,0.007619873889572012,0.011867128301918965,0.01957893197048806,4,0.01131163794519503,0.01131163794519503,0.01957893197048806,0.006180617618801085,0.013398314351686973,categorical,energy_band_ZERO,42,0.013398314351686973,3.1677953851942027,True
categorical__energy_band_LOW,0.006843447273126755,0.011524882600921669,0.011702726085083067,0.019717663488655262,4,0.012447179861946687,0.012447179861946687,0.019717663488655262,0.006843447273126755,0.012874216215528507,categorical,energy_band_LOW,39,0.012874216215528507,2.8812472284375925,True
numeric__opponent_energy,0.00914249325314893,0.011502573916167344,0.013358641666392126,0.021486661074302617,4,0.013872592477502754,0.013872592477502754,0.021486661074302617,0.00914249325314893,0.012344167821153686,numeric,opponent_energy,35,0.012344167821153686,2.350197093872835,True
categorical__player_card_Meowth,0.004670039928174495,0.006230145132352078,0.008800780280100107,0.016891461531684488,4,0.009148106718077791,0.009148106718077791,0.016891461531684488,0.004670039928174495,0.012221421603509993,categorical,player_card_Meowth,45,0.012221421603509993,3.6169843923127467,True
categorical__active_card_Meowth,0.007925693274709126,0.008467705716619216,0.01311734756443873,0.019582793681815015,4,0.012273385059395521,0.012273385059395521,0.019582793681815015,0.007925693274709126,0.011657100407105889,categorical,active_card_Meowth,40,0.011657100407105889,2.470798831479345,True
categorical__player_card_Charmander,0.0002549876145624082,0.0028103071175487123,0.003548884649595696,0.010155091874263273,4,0.004192317813992522,0.004192317813992522,0.010155091874263273,0.0002549876145624082,0.009900104259700865,categorical,player_card_Charmander,49,0.009900104259700865,39.82582405694773,True
numeric__multi_legal_move_flag,0.028611627026524446,0.028799209986888143,0.038134953659021344,0.03655211603741221,4,0.033024476677461535,0.033024476677461535,0.038134953659021344,0.028611627026524446,0.009523326632496897,numeric,multi_legal_move_flag,15,0.007940489010887761,1.277526650390295,True
categorical__current_side_Opponent,0.0008588810167124532,0.0016681710216639649,0.0032323135749926,0.00778789813375323,4,0.003386815936780562,0.003386815936780562,0.00778789813375323,0.0008588810167124532,0.006929017117040777,categorical,current_side_Opponent,51,0.006929017117040777,9.067493613449555,True
numeric__acting_energy,0.012824873033617432,0.021461949876440466,0.015572534329332446,0.019481321908528935,4,0.01733516978697982,0.01733516978697982,0.021461949876440466,0.012824873033617432,0.008637076842823034,numeric,acting_energy,31,0.006656448874911503,1.5190264930859874,True
categorical__player_card_Eevee,0.00033158482714277214,0.0013475250820409901,0.0008945917046901148,0.00576820538350287,4,0.0020854767493441867,0.0020854767493441867,0.00576820538350287,0.00033158482714277214,0.005436620556360098,categorical,player_card_Eevee,53,0.005436620556360098,17.39586649125904,True
numeric__opponent_damage,0.005098140234767254,0.004173185161997974,0.004130139217494146,0.010279938674264228,4,0.005920350822130901,0.005920350822130901,0.010279938674264228,0.004130139217494146,0.006149799456770083,numeric,opponent_damage,48,0.005181798439496974,2.016409553460143,True
categorical__current_side_Player,0.002179479931220695,0.0023837665697433656,0.0037327089042817753,0.006674955828422275,4,0.0037427278084170277,0.0037427278084170277,0.006674955828422275,0.002179479931220695,0.00449547589720158,categorical,current_side_Player,50,0.00449547589720158,3.0626369772002118,True
categorical__opponent_card_Charmander,0.0001988565072085403,0.0011684919776087438,0.001224971132379785,0.004684287421832361,4,0.0018191517597573575,0.0018191517597573575,0.004684287421832361,0.0001988565072085403,0.004485430914623821,categorical,opponent_card_Charmander,55,0.004485430914623821,23.556118366898406,True
categorical__damage_band_HIGH_DAMAGE,0.025206306720251016,0.02825792753220497,0.03533836654506567,0.029283087962767823,4,0.02952142219007237,0.02952142219007237,0.03533836654506567,0.025206306720251016,0.010132059824814653,categorical,damage_band_HIGH_DAMAGE,20,0.004076781242516807,1.1617365561628066,True
numeric__prize_cards_remaining,0.004122921991834085,0.008401505803080139,0.005255394024740589,0.00800912099519224,4,0.006447235703711763,0.006447235703711763,0.008401505803080139,0.004122921991834085,0.004278583811246054,numeric,prize_cards_remaining,47,0.003886199003358154,1.942583684836922,True
categorical__opponent_card_Eevee,0.0005881709964947218,0.0013026596488760357,0.00221950115183979,0.004111619339716495,4,0.0020554877842317606,0.0020554877842317606,0.004111619339716495,0.0005881709964947218,0.0035234483432217733,categorical,opponent_card_Eevee,54,0.0035234483432217733,6.990516982680551,True
numeric__model_choice_required_flag,0.030994978973058095,0.033931102937855756,0.030599529808120515,0.034221057535609146,4,0.03243666731366088,0.03243666731366088,0.034221057535609146,0.030599529808120515,0.0036215277274886312,numeric,model_choice_required_flag,17,0.003226078562551051,1.1040839087310004,True
numeric__absolute_energy_difference,0.0007873323087726295,0.000855054847521799,0.0017843733714784456,0.0031835729416457973,4,0.001652583367354668,0.001652583367354668,0.0031835729416457973,0.0007873323087726295,0.002396240632873168,numeric,absolute_energy_difference,56,0.002396240632873168,4.043493333340609,True
categorical__battle_phase_MID,0.0004373124053986601,0.0004855689334757369,0.001036848579699197,0.002721162293180329,4,0.0011702230529384808,0.0011702230529384808,0.002721162293180329,0.0004373124053986601,0.002283849887781669,categorical,battle_phase_MID,58,0.002283849887781669,6.222467644611361,True
categorical__energy_band_READY,0.008131806014026412,0.015239687036149707,0.008465844417723004,0.009723053548353311,4,0.010390097754063108,0.010390097754063108,0.015239687036149707,0.008131806014026412,0.0071078810221232944,categorical,energy_band_READY,44,0.0015912475343268992,1.1956819348103218,True
categorical__damage_band_MEDIUM_DAMAGE,0.0002923555711141322,0.0007697099446953278,0.0006134706411615327,0.001789204289739742,4,0.0008661851116776836,0.0008661851116776836,0.001789204289739742,0.0002923555711141322,0.0014968487186256098,categorical,damage_band_MEDIUM_DAMAGE,60,0.0014968487186256098,6.119959619450034,True
categorical__inactive_card_Bulbasaur,0.00010332103321040029,0.00021974248927044332,0.0003828350799687584,0.0012390883592140584,4,0.00048624674041591507,0.00048624674041591507,0.0012390883592140584,0.00010332103321040029,0.001135767326003658,categorical,inactive_card_Bulbasaur,62,0.001135767326003658,11.992605190956724,True
categorical__battle_phase_LATE,0.001844377406287528,0.00222063800893887,0.001458819038362359,0.0029711646975973233,4,0.00212374978779652,0.00212374978779652,0.0029711646975973233,0.001458819038362359,0.0015123456592349644,categorical,battle_phase_LATE,52,0.0011267872913097953,1.6109309772872675,True
categorical__inactive_card_Charmander,0.0001775809494743056,0.00011268699603089886,0.00035949995260155145,0.0010167427463013952,4,0.0004166276611020378,0.0004166276611020378,0.0010167427463013952,0.00011268699603089886,0.0009040557502704963,categorical,inactive_card_Charmander,63,0.0008391617968270896,5.725517006814456,True
numeric__energy_difference,0.00014790090634880486,0.0006152663903096615,0.0005598100000726531,0.0009723191837532374,4,0.0005738241201210892,0.0005738241201210892,0.0009723191837532374,0.00014790090634880486,0.0008244182774044325,numeric,energy_difference,61,0.0008244182774044325,6.5741259317245175,True
categorical__battle_phase_EARLY,0.000682090340665087,0.001625301939809459,0.000975121567155268,0.0010775613531257954,4,0.0010900188001889024,0.0010900188001889024,0.001625301939809459,0.000682090340665087,0.000943211599144372,categorical,battle_phase_EARLY,59,0.00039547101246070846,1.579792717889973,True
categorical__inactive_card_Meowth,5.2559502627492256e-06,0.00011528213634393622,0.00010590434833253252,0.00010158602814727669,4,8.200711577162367e-05,8.200711577162367e-05,0.00011528213634393622,5.2559502627492256e-06,0.00011002618608118699,categorical,inactive_card_Meowth,64,9.633007788452746e-05,19.327813824124767,True
categorical__damage_band_LOW_DAMAGE,0.0017095779342866514,0.0016535559472418632,0.0005088076037817745,0.001060381185578887,4,0.001233080667722294,0.001233080667722294,0.0017095779342866514,0.0005088076037817745,0.0012007703305048768,categorical,damage_band_LOW_DAMAGE,57,-0.0006491967487077643,0.620259050092003,False
